Tweet_Num,Step 2 Prob,Step 2 Result
5545,0.87272367,entity_directed_hostility
5547,0.888459126,entity_directed_hostility
5593,0.986062147,entity_directed_hostility
5665,0.990399703,entity_directed_hostility
5721,0.944356579,entity_directed_hostility
5744,0.948402397,entity_directed_hostility
5801,0.860910084,entity_directed_hostility
5854,0.807823696,entity_directed_hostility
5989,0.880092028,entity_directed_hostility
6007,0.971565108,entity_directed_hostility
6042,0.847157908,entity_directed_hostility
6045,0.84303438,entity_directed_hostility
6057,0.983041192,entity_directed_hostility
6068,0.998017641,entity_directed_hostility
6081,0.993587435,entity_directed_hostility
6093,0.881745552,entity_directed_hostility
6122,0.832552193,entity_directed_hostility
6200,0.980007101,entity_directed_hostility
6226,0.900891074,entity_directed_hostility
6257,0.958534261,entity_directed_hostility
6261,0.975105748,entity_directed_hostility
6264,0.987696677,entity_directed_hostility
6293,0.956520591,entity_directed_hostility
6324,0.988272205,entity_directed_hostility
6341,0.861869724,entity_directed_hostility
6392,0.921066353,entity_directed_hostility
6595,0.993200871,entity_directed_hostility
6627,0.945482676,entity_directed_hostility
6637,0.976577263,entity_directed_hostility
6646,0.883513683,entity_directed_hostility
6673,0.944112054,entity_directed_hostility
6691,0.921117371,entity_directed_hostility
6695,0.849604169,entity_directed_hostility
6736,0.977587364,entity_directed_hostility
6739,0.913792863,entity_directed_hostility
6760,0.901572986,entity_directed_hostility
6764,0.82698493,entity_directed_hostility
6777,0.947139974,entity_directed_hostility
6806,0.927403373,entity_directed_hostility
6818,0.886918729,entity_directed_hostility
6834,0.877773694,entity_directed_hostility
6852,0.921106741,entity_directed_hostility
6865,0.970226182,entity_directed_hostility
6882,0.889600019,entity_directed_hostility
6884,0.885244746,entity_directed_hostility
6896,0.928269287,entity_directed_hostility
6929,0.99698306,entity_directed_hostility
6939,0.818822634,entity_directed_hostility
6970,0.999410238,entity_directed_hostility
7034,0.882619664,entity_directed_hostility
7091,0.988180734,entity_directed_hostility
7106,0.930354789,entity_directed_hostility
7126,0.794374377,entity_directed_hostility
7178,0.922833951,entity_directed_hostility
7182,0.961421587,entity_directed_hostility
7196,0.988071918,entity_directed_hostility
7210,0.938810041,entity_directed_hostility
7232,0.93301242,entity_directed_hostility
7246,0.933457674,entity_directed_hostility
7253,0.970072043,entity_directed_hostility
7256,0.9181177,entity_directed_hostility
7273,0.990416176,entity_directed_hostility
7283,0.968129435,entity_directed_hostility
7288,0.998538099,entity_directed_hostility
7318,0.832205609,entity_directed_hostility
7321,0.826160705,entity_directed_hostility
7327,0.966721913,entity_directed_hostility
7449,0.974931096,entity_directed_hostility
7464,0.845925053,entity_directed_hostility
7480,0.977800503,entity_directed_hostility
7483,0.954261838,entity_directed_hostility
7496,0.970042987,entity_directed_hostility
7497,0.815852311,entity_directed_hostility
7525,0.872830512,entity_directed_hostility
7543,0.911909079,entity_directed_hostility
7549,0.887405127,entity_directed_hostility
7558,0.99100939,entity_directed_hostility
7653,0.791172481,entity_directed_hostility
7660,0.8813693,entity_directed_hostility
7706,0.975320973,entity_directed_hostility
7721,0.870597224,entity_directed_hostility
7750,0.995731767,entity_directed_hostility
7751,0.862341566,entity_directed_hostility
7759,0.986297098,entity_directed_hostility
7769,0.935739848,entity_directed_hostility
7810,0.799205313,entity_directed_hostility
7829,0.944309407,entity_directed_hostility
7834,0.952310917,entity_directed_hostility
7850,0.966012172,entity_directed_hostility
7944,0.934221044,entity_directed_hostility
7961,0.980821228,entity_directed_hostility
7962,0.939896701,entity_directed_hostility
7987,0.912257695,entity_directed_hostility
7994,0.984148188,entity_directed_hostility
7999,0.88223106,entity_directed_hostility
8003,0.966459223,entity_directed_hostility
8030,0.892612129,entity_directed_hostility
8047,0.863432123,entity_directed_hostility
8088,0.965814257,entity_directed_hostility
8145,0.918567899,entity_directed_hostility
8185,0.948789324,entity_directed_hostility
8202,0.996021521,entity_directed_hostility
8216,0.858037277,entity_directed_hostility
8277,0.996383525,entity_directed_hostility
8282,0.887888711,entity_directed_hostility
8300,0.885551035,entity_directed_hostility
8313,0.997900969,entity_directed_hostility
8318,0.817383342,entity_directed_hostility
8354,0.891295751,entity_directed_hostility
8356,0.922165694,entity_directed_hostility
8385,0.938948594,entity_directed_hostility
8416,0.955996894,entity_directed_hostility
8521,0.984009191,entity_directed_hostility
8533,0.787888048,entity_directed_hostility
8557,0.974830164,entity_directed_hostility
8571,0.94939382,entity_directed_hostility
8610,0.88924899,entity_directed_hostility
8664,0.87200499,entity_directed_hostility
8682,0.859290037,entity_directed_hostility
8690,0.930322408,entity_directed_hostility
8804,0.784407151,entity_directed_hostility
8815,0.839529162,entity_directed_hostility
8821,0.96506953,entity_directed_hostility
8833,0.957557527,entity_directed_hostility
8854,0.912917928,entity_directed_hostility
8862,0.836692373,entity_directed_hostility
8908,0.849349755,entity_directed_hostility
8974,0.864666324,entity_directed_hostility
8979,0.831773668,entity_directed_hostility
8986,0.895238323,entity_directed_hostility
9054,0.975022764,entity_directed_hostility
9071,0.990397516,entity_directed_hostility
9110,0.985537608,entity_directed_hostility
9139,0.993388087,entity_directed_hostility
9145,0.904267427,entity_directed_hostility
9156,0.914136966,entity_directed_hostility
9166,0.974933743,entity_directed_hostility
9217,0.990738865,entity_directed_hostility
9252,0.810125159,entity_directed_hostility
9256,0.92642685,entity_directed_hostility
9259,0.94977379,entity_directed_hostility
9262,0.960907071,entity_directed_hostility
9277,0.999168143,entity_directed_hostility
9287,0.967715438,entity_directed_hostility
9297,0.955705481,entity_directed_hostility
9302,0.915841643,entity_directed_hostility
9311,0.824685471,entity_directed_hostility
9325,0.864026056,entity_directed_hostility
